ID,Neighborhood,,2010,2015,2020,2010 Percent Total,2015 Percent Total,2020 Percent of Total,Percent Change 2010-2023,Burden of Arrest
1,Adams-Normandie,,238.0000,211.0000,121.0000,0.0078,0.0099,0.0048,-0.3895,0.74
2,Arleta,,12.0000,10.0000,10.0000,0.0004,0.0005,0.0004,0.0007,0.04
3,Arlington Heights,,153.0000,90.0000,97.0000,0.0050,0.0042,0.0038,-0.2387,0.44
4,Atwater Village,,7.0000,12.0000,8.0000,0.0002,0.0006,0.0003,0.3724,0.03
5,Baldwin Hills/Crenshaw,,406.0000,235.0000,354.0000,0.0133,0.0110,0.0139,0.0471,1.29
6,Bel-Air,,8.0000,3.0000,31.0000,0.0003,0.0001,0.0012,3.6534,0.05
7,Beverly Crest,,4.0000,1.0000,11.0000,0.0001,0.0000,0.0004,2.3024,0.02
8,Beverly Grove,,49.0000,56.0000,104.0000,0.0016,0.0026,0.0041,1.5488,0.27
9,Beverlywood,,1.0000,5.0000,5.0000,0.0000,0.0002,0.0002,5.0044,0.01
10,Boyle Heights,,61.0000,50.0000,107.0000,0.0020,0.0023,0.0042,1.1064,0.28
11,Brentwood,,27.0000,19.0000,53.0000,0.0009,0.0009,0.0021,1.3573,0.13
12,Broadway-Manchester,,520.0000,312.0000,603.0000,0.0170,0.0146,0.0237,0.3926,1.85
13,Canoga Park,,81.0000,65.0000,74.0000,0.0027,0.0030,0.0029,0.0971,0.28
14,Carthay,,14.0000,10.0000,33.0000,0.0005,0.0005,0.0013,1.8306,0.07
15,Central-Alameda,,495.0000,194.0000,186.0000,0.0162,0.0091,0.0073,-0.5488,1.13
16,Century City,,6.0000,3.0000,17.0000,0.0002,0.0001,0.0007,2.4025,0.03
17,Chatsworth,,43.0000,32.0000,47.0000,0.0014,0.0015,0.0018,0.3126,0.16
18,Chatsworth Reservoir,,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0
19,Chesterfield Square,,187.0000,148.0000,197.0000,0.0061,0.0069,0.0077,0.2651,0.69
20,Cheviot Hills,,30.0000,12.0000,10.0000,0.0010,0.0006,0.0004,-0.5997,0.07
21,Chinatown,,38.0000,39.0000,58.0000,0.0012,0.0018,0.0023,0.8329,0.17
22,Cypress Park,,6.0000,4.0000,10.0000,0.0002,0.0002,0.0004,1.0015,0.03
23,Del Rey,,66.0000,55.0000,88.0000,0.0022,0.0026,0.0035,0.6012,0.27
24,Downtown,,"5,771.0000","5,277.0000","2,663.0000",0.1888,0.2471,0.1046,-0.4459,17.72
25,Eagle Rock,,16.0000,18.0000,17.0000,0.0005,0.0008,0.0007,0.2759,0.07
26,East Hollywood,,536.0000,430.0000,457.0000,0.0175,0.0201,0.0180,0.0239,1.84
27,Echo Park,,52.0000,52.0000,88.0000,0.0017,0.0024,0.0035,1.0322,0.25
28,El Sereno,,12.0000,11.0000,19.0000,0.0004,0.0005,0.0007,0.9014,0.05
29,Elysian Park,,44.0000,16.0000,16.0000,0.0014,0.0007,0.0006,-0.5633,0.1
30,Elysian Valley,,3.0000,4.0000,11.0000,0.0001,0.0002,0.0004,3.4032,0.02
31,Encino,,50.0000,42.0000,83.0000,0.0016,0.0020,0.0033,0.9934,0.23
32,Exposition Park,,734.0000,411.0000,539.0000,0.0240,0.0192,0.0212,-0.1182,2.18
33,Fairfax,,86.0000,69.0000,140.0000,0.0028,0.0032,0.0055,0.9549,0.38
34,Florence,,"1,026.0000",672.0000,863.0000,0.0336,0.0315,0.0339,0.0101,3.31
35,Glassell Park,,11.0000,5.0000,15.0000,0.0004,0.0002,0.0006,0.6376,0.04
36,Gramercy Park,,128.0000,80.0000,221.0000,0.0042,0.0037,0.0087,1.0734,0.55
37,Granada Hills,,53.0000,30.0000,31.0000,0.0017,0.0014,0.0012,-0.2976,0.15
38,Green Meadows,,681.0000,401.0000,678.0000,0.0223,0.0188,0.0266,0.1956,2.27
39,Griffith Park,,9.0000,3.0000,16.0000,0.0003,0.0001,0.0006,1.1349,0.04
40,Hancock Park,,32.0000,26.0000,60.0000,0.0010,0.0012,0.0024,1.2516,0.15
41,Hansen Dam,,4.0000,2.0000,2.0000,0.0001,0.0001,0.0001,-0.3996,0.01
42,Harbor City,,48.0000,25.0000,52.0000,0.0016,0.0012,0.0020,0.3009,0.16
43,Harbor Gateway,,96.0000,68.0000,143.0000,0.0031,0.0032,0.0056,0.7888,0.4
44,Harvard Heights,,228.0000,183.0000,100.0000,0.0075,0.0086,0.0039,-0.4733,0.66
45,Harvard Park,,214.0000,160.0000,242.0000,0.0070,0.0075,0.0095,0.3580,0.8
46,Highland Park,,63.0000,30.0000,23.0000,0.0021,0.0014,0.0009,-0.5616,0.15
47,Historic South-Central,,504.0000,422.0000,479.0000,0.0165,0.0198,0.0188,0.1413,1.82
48,Hollywood,,"3,157.0000","1,583.0000","1,693.0000",0.1033,0.0741,0.0665,-0.3560,8.31
49,Hollywood Hills,,110.0000,65.0000,125.0000,0.0036,0.0030,0.0049,0.3646,0.39
50,Hollywood Hills West,,18.0000,14.0000,63.0000,0.0006,0.0007,0.0025,3.2031,0.12
51,Hyde Park,,623.0000,356.0000,545.0000,0.0204,0.0167,0.0214,0.0505,1.97
52,Jefferson Park,,428.0000,262.0000,278.0000,0.0140,0.0123,0.0109,-0.2200,1.25
53,Koreatown,,500.0000,170.0000,355.0000,0.0164,0.0080,0.0139,-0.1474,1.32
54,Lake Balboa,,79.0000,36.0000,24.0000,0.0026,0.0017,0.0009,-0.6352,0.18
55,Lake View Terrace,,57.0000,10.0000,12.0000,0.0019,0.0005,0.0005,-0.7472,0.1
56,Larchmont,,59.0000,25.0000,169.0000,0.0019,0.0012,0.0066,2.4398,0.33
57,Leimert Park,,471.0000,257.0000,278.0000,0.0154,0.0120,0.0109,-0.2912,1.3
58,Lincoln Heights,,9.0000,6.0000,34.0000,0.0003,0.0003,0.0013,3.5366,0.06
59,Los Feliz,,33.0000,21.0000,71.0000,0.0011,0.0010,0.0028,1.5837,0.16
60,Manchester Square,,242.0000,121.0000,163.0000,0.0079,0.0057,0.0064,-0.1911,0.68
61,Mar Vista,,27.0000,18.0000,50.0000,0.0009,0.0008,0.0020,1.2238,0.12
62,Mid-City,,699.0000,262.0000,299.0000,0.0229,0.0123,0.0117,-0.4863,1.63
63,Mid-Wilshire,,343.0000,92.0000,183.0000,0.0112,0.0043,0.0072,-0.3593,0.8
64,Mission Hills,,23.0000,19.0000,36.0000,0.0008,0.0009,0.0014,0.8796,0.1
65,Montecito Heights,,10.0000,5.0000,7.0000,0.0003,0.0002,0.0003,-0.1594,0.03
66,Mount Washington,,3.0000,2.0000,3.0000,0.0001,0.0001,0.0001,0.2009,0.01
67,North Hills,,253.0000,198.0000,137.0000,0.0083,0.0093,0.0054,-0.3497,0.76
68,North Hollywood,,315.0000,277.0000,243.0000,0.0103,0.0130,0.0095,-0.0736,1.08
69,Northridge,,112.0000,47.0000,67.0000,0.0037,0.0022,0.0026,-0.2816,0.29
70,Pacific Palisades,,15.0000,6.0000,16.0000,0.0005,0.0003,0.0006,0.2809,0.05
71,Pacoima,,160.0000,114.0000,109.0000,0.0052,0.0053,0.0043,-0.1819,0.5
72,Palms,,85.0000,46.0000,96.0000,0.0028,0.0022,0.0038,0.3563,0.29
73,Panorama City,,128.0000,90.0000,106.0000,0.0042,0.0042,0.0042,-0.0055,0.42
74,Pico-Robertson,,32.0000,22.0000,52.0000,0.0010,0.0010,0.0020,0.9514,0.14
75,Pico-Union,,130.0000,76.0000,175.0000,0.0043,0.0036,0.0069,0.6166,0.49
76,Playa Vista,,8.0000,7.0000,16.0000,0.0003,0.0003,0.0006,1.4017,0.04
77,Playa del Rey,,81.0000,17.0000,25.0000,0.0027,0.0008,0.0010,-0.6294,0.16
78,Porter Ranch,,26.0000,13.0000,6.0000,0.0009,0.0006,0.0002,-0.7229,0.06
79,Rancho Park,,8.0000,20.0000,29.0000,0.0003,0.0009,0.0011,3.3532,0.07
80,Reseda,,98.0000,73.0000,96.0000,0.0032,0.0034,0.0038,0.1764,0.35
81,San Pedro,,194.0000,134.0000,147.0000,0.0063,0.0063,0.0058,-0.0901,0.61
82,Sawtelle,,245.0000,130.0000,321.0000,0.0080,0.0061,0.0126,0.5734,0.9
83,Sepulveda Basin,,15.0000,15.0000,14.0000,0.0005,0.0007,0.0006,0.1208,0.06
84,Shadow Hills,,5.0000,6.0000,6.0000,0.0002,0.0003,0.0002,0.4410,0.02
85,Sherman Oaks,,130.0000,116.0000,190.0000,0.0043,0.0054,0.0075,0.7551,0.56
86,Silver Lake,,31.0000,31.0000,33.0000,0.0010,0.0015,0.0013,0.2783,0.12
87,South Park,,567.0000,450.0000,301.0000,0.0186,0.0211,0.0118,-0.3625,1.7
88,Studio City,,114.0000,106.0000,133.0000,0.0037,0.0050,0.0052,0.4010,0.46
89,Sun Valley,,274.0000,76.0000,80.0000,0.0090,0.0036,0.0031,-0.6494,0.56
90,Sunland,,8.0000,4.0000,5.0000,0.0003,0.0002,0.0002,-0.2495,0.02
91,Sylmar,,88.0000,40.0000,62.0000,0.0029,0.0019,0.0024,-0.1539,0.25
92,Tarzana,,57.0000,33.0000,69.0000,0.0019,0.0015,0.0027,0.4537,0.21
93,Toluca Lake,,16.0000,11.0000,15.0000,0.0005,0.0005,0.0006,0.1258,0.05
94,Tujunga,,14.0000,4.0000,8.0000,0.0005,0.0002,0.0003,-0.3138,0.03
95,University Park,,191.0000,236.0000,210.0000,0.0062,0.0110,0.0083,0.3203,0.82
96,Valley Glen,,63.0000,48.0000,69.0000,0.0021,0.0022,0.0027,0.3152,0.23
97,Valley Village,,38.0000,28.0000,32.0000,0.0012,0.0013,0.0013,0.0113,0.12
98,Van Nuys,,734.0000,820.0000,825.0000,0.0240,0.0384,0.0324,0.3498,3.07
99,Venice,,944.0000,472.0000,540.0000,0.0309,0.0221,0.0212,-0.3131,2.53
100,Vermont Knolls,,423.0000,357.0000,889.0000,0.0138,0.0167,0.0349,1.5238,2.16
101,Vermont Square,,"1,180.0000",796.0000,963.0000,0.0386,0.0373,0.0378,-0.0200,3.8
102,Vermont Vista,,636.0000,916.0000,963.0000,0.0208,0.0429,0.0378,0.8183,3.25
103,Vermont-Slauson,,724.0000,554.0000,"1,424.0000",0.0237,0.0259,0.0560,1.3619,3.49
104,Watts,,824.0000,494.0000,677.0000,0.0270,0.0231,0.0266,-0.0134,2.58
105,West Adams,,325.0000,248.0000,187.0000,0.0106,0.0116,0.0073,-0.3090,0.98
106,West Hills,,31.0000,16.0000,27.0000,0.0010,0.0007,0.0011,0.0459,0.1
107,West Los Angeles,,27.0000,17.0000,60.0000,0.0009,0.0008,0.0024,1.6686,0.13
108,Westchester,,458.0000,223.0000,"1,405.0000",0.0150,0.0104,0.0552,2.6839,2.7
109,Westlake,,509.0000,388.0000,601.0000,0.0167,0.0182,0.0236,0.4179,1.94
110,Westwood,,55.0000,30.0000,127.0000,0.0018,0.0014,0.0050,1.7729,0.27
111,Wilmington,,227.0000,86.0000,108.0000,0.0074,0.0040,0.0042,-0.4287,0.54
112,Windsor Square,,5.0000,5.0000,16.0000,0.0002,0.0002,0.0006,2.8428,0.03
113,Winnetka,,100.0000,72.0000,71.0000,0.0033,0.0034,0.0028,-0.1474,0.31
114,Woodland Hills,,114.0000,65.0000,127.0000,0.0037,0.0030,0.0050,0.3378,0.4